"StartDate","EndDate","IPAddress","Duration..in.seconds.","Finished","RecordedDate","LocationLatitude","LocationLongitude","hb_hb_1","hb_hb_2","hb_hb_3","hb_hb_4","nat_nat_1","nat_nat_2r","nat_nat_3","nat_nat_4","nat_nat_5","medSkept_medSkept_1","medSkept_medSkept_2r","medSkept_medSkept_3","medSkept_medSkept_4","medSkept_medSkept_5","medSkept_medSkept_6","diseaseRare_diseaseRare_1","diseaseRare_diseaseRare_2","diseaseRare_diseaseRare_3","diseaseRare_check_5","diseaseSevere_diseaseSevere_1","diseaseSevere_diseaseSevere_2","diseaseSevere_diseaseSevere_3","diseaseSevere_diseaseSevere_4","diseaseSevere_diseaseSevere_5r","vaccEff_vaccEff_1","vaccEff_vaccEff_2r","vaccEff_vaccEff_3r","vaccEff_vaccEff_4","vaccDanger_vaccDanger_1","vaccDanger_vaccDanger_2","vaccDanger_vaccDanger_3","vaccDanger_vaccDanger_4r","vaccTox_vaccTox_1","vaccTox_vaccTox_2","vaccTox_vaccTox_3","vaccTox_vaccTox_4r","vaccStrain_vaccStrain_1","vaccStrain_vaccStrain_2r","vaccStrain_vaccStrain_3","vaccIntent_vaccIntent_1r","vaccIntent_vaccIntent_2","vaccIntent_vaccIntent_3r","vaccIntent_vaccIntent_4","vaccIntent_vaccIntent_5r","infantVuln_infantVuln_1r","infantVuln_infantVuln_2","infantVuln_infantVuln_3","parentDuty_parentDuty_1","parentDuty_parentDuty_2","parentDuty_parentDuty_3","parentDuty_parentDuty_4","parentDuty_check_3","parentExpert_parentExpert_1","parentExpert_parentExpert_2","parentExpert_parentExpert_3","parentExpert_parentExpert_4","parentExpert_parentExpert_5","infantImmLimCap_infantImmLimCap_1","infantImmLimCap_infantImmLimCap_2r","infantImmLimCap_infantImmLimCap_3","infantImmLimCap_infantImmLimCap_4","immSympt_immSympt_1","immSympt_immSympt_2r","immSympt_immSympt_3r","infantImmWeak_infantImmWeak_1","infantImmWeak_infantImmWeak_2","infantImmWeak_infantImmWeak_3","infantImmWeak_infantImmWeak_4r","sex","age","educ","comments","workerId","assignmentId","hitId"
"6/21/17 8:06","6/21/17 8:13","eb4501ccbf08e5e0",372,1,"6/21/17 8:13",44.07,-121.26,3,2,4,3,5,3,4,3,5,3,3,5,5,4,5,5,6,4,5,3,4,4,5,5,6,5,7,4,5,4,3,6,4,7,5,6,5,4,5,1,7,1,7,1,5,7,6,5,6,4,5,3,6,5,5,3,3,5,3,5,4,6,5,4,7,6,7,3,0,26,4,"","5537c80873ea46dd","3R3YRB5GRF3X8VK4KCZBKKB4M2CAUJ","31KSVEGZ34SZDWXWRLVW9EQP01MWRY"
"6/21/17 8:05","6/21/17 8:13","da6e18133a08ca7f",502,1,"6/21/17 8:13",39.11,-77.25,2,1,1,1,1,7,1,1,1,1,6,1,1,1,1,2,3,3,5,7,7,7,7,1,5,1,1,7,1,1,1,7,1,1,1,7,1,7,1,1,7,1,7,1,4,7,5,5,2,6,7,3,3,1,3,1,2,4,5,3,5,1,6,7,7,4,6,2,1,39,6,"The anti-vaccine people are nuts. I can't believe society are dealing with measles and whooping cough again because some jerk falsified his research on mercury in vaccines and some dumb celebrities have to spout their mouths off. Thank you for letting me rant. Your survey is excellent and relevant. ","80fbf139543ed6cd","3I0BTBYZAXLIOR6R2BZ7YZ5494B0YG","31KSVEGZ34SZDWXWRLVW9EQP01MWRY"
"6/21/17 8:04","6/21/17 8:13","7fe4606696cb5ed5",541,1,"6/21/17 8:13",40.6,-73.94,5,2,2,2,1,6,2,1,2,2,6,2,2,5,5,2,3,2,5,4,6,2,4,2,6,3,2,6,1,3,4,6,1,1,2,6,6,6,2,1,7,2,6,1,3,6,6,6,5,5,3,3,5,2,3,2,2,6,5,6,6,1,6,6,5,5,6,3,1,19,3,"","4bf131f52bc5694e","3HMVI3QICJSIVGR9YU37C4OEEWGY1G","31KSVEGZ34SZDWXWRLVW9EQP01MWRY"
"6/21/17 8:05","6/21/17 8:13","9c60154a78541a0a",464,1,"6/21/17 8:13",35.39,-82.37,7,5,6,6,6,5,5,6,2,7,3,3,5,5,7,2,2,1,5,6,3,5,6,4,5,3,2,6,4,6,3,5,5,2,5,4,5,5,2,2,6,4,6,2,6,7,5,7,5,5,3,3,6,6,7,5,6,3,6,3,3,2,7,7,2,2,3,6,1,58,2,"No","488d01aa69fac852","3PW9OPU9PQKSUVY259WC30N9ZHM123","31KSVEGZ34SZDWXWRLVW9EQP01MWRY"
"6/21/17 8:04","6/21/17 8:13","772bbc6f71596fea",527,1,"6/21/17 8:13",42.39,-85.19,5,3,5,4,2,6,4,1,1,5,3,2,3,3,5,5,6,6,5,5,4,4,4,2,6,1,1,7,1,3,3,6,1,2,2,6,5,3,2,1,7,4,7,1,2,6,6,6,3,7,1,3,3,2,3,2,2,6,5,6,6,3,7,5,2,6,5,5,0,26,4,"no","fe74c8208230ec46","3UJ1CZ6IZHPKNCGJ0BDUX8DU9RQ5SS","31KSVEGZ34SZDWXWRLVW9EQP01MWRY"
"6/21/17 8:04","6/21/17 8:13","87fa230d1905160b",532,1,"6/21/17 8:13",41.85,-87.67,5,2,5,4,1,5,2,2,1,4,5,1,2,3,4,1,1,1,5,6,5,6,6,1,6,1,1,6,1,4,2,7,1,1,2,5,3,4,2,1,7,4,7,1,6,5,4,7,6,7,4,3,2,3,4,3,1,3,4,4,6,1,5,7,3,5,6,1,1,29,6,"Good luck!","e6cfc77f6966b361","3IAEQB9FMEK8Y6CLZM5ES947SLJWD5","31KSVEGZ34SZDWXWRLVW9EQP01MWRY"
"6/21/17 8:04","6/21/17 8:13","8e77b20f5acf43f8",543,1,"6/21/17 8:13",41.98,-87.7,3,2,3,5,3,5,1,1,1,4,6,2,3,5,5,1,1,1,5,4,6,5,4,5,5,3,4,6,1,3,3,6,2,1,4,5,2,4,3,1,7,2,6,1,3,6,6,5,5,6,5,3,5,5,3,3,3,4,6,3,3,2,5,6,2,2,4,3,1,36,4,"","1377b152d5248d3e","3S3AMIZX3U5ZK86GIV5DGFX4052DCE","31KSVEGZ34SZDWXWRLVW9EQP01MWRY"
"6/21/17 8:10","6/21/17 8:13","aa5452827ee499f4",195,1,"6/21/17 8:13",40.65,-74.22,5,2,2,3,2,4,3,2,3,5,6,5,3,4,5,4,4,2,5,6,7,6,5,1,6,5,6,5,2,1,3,6,4,3,4,5,4,5,5,3,5,3,2,1,6,5,5,6,3,3,5,3,5,4,5,4,3,5,5,4,5,5,6,5,6,5,5,4,0,22,4,"","910845681942d53a","3WETL7AQWT8G3VV4AWCTP05IHBR35Y","31KSVEGZ34SZDWXWRLVW9EQP01MWRY"
"6/21/17 8:05","6/21/17 8:14","7a6d5f0ec6aff37f",537,1,"6/21/17 8:14",39.46,-121.4,6,2,3,3,7,3,5,5,2,7,6,1,1,2,7,1,1,1,5,7,6,7,7,1,6,1,1,7,1,3,2,7,2,2,3,7,1,7,1,1,7,2,7,1,6,7,4,7,6,6,7,3,5,6,6,5,1,7,5,6,5,2,3,7,7,5,5,3,0,62,2,"I have 4 children and I got all of them their shots and I recommend to my children to do the same for my grandchildren","62d56a6fb9e0d947","3HMIGG0U4L606GBUXFCMREBMS2MY80","31KSVEGZ34SZDWXWRLVW9EQP01MWRY"
"6/21/17 8:08","6/21/17 8:15","4424a3379f63720b",373,1,"6/21/17 8:15",40.18,-77,2,2,2,2,2,6,2,2,2,2,6,2,2,2,2,2,2,2,5,4,4,4,4,2,6,2,2,6,2,2,2,6,2,2,2,2,2,6,2,2,6,2,6,2,4,6,6,6,6,6,6,3,4,2,2,2,1,5,2,3,6,6,2,4,6,6,6,2,0,23,2,"","d9d036d2b9e9b647","34Q075JO1XDLYLVOQMSYKCUU2J210J","31KSVEGZ34SZDWXWRLVW9EQP01MWRY"
